,Date,High,Low,Open,8,Volume,Adj Close,Timestamp,Scale Close
1570,2020-02-28,1342.449951171875,1268.2099609375,1274.31005859375,1339.25,4010900.0,1339.25,1582866000.0,0.8782715931774089
1569,2020-02-27,1369.4000244140625,1314.239990234375,1359.1400146484375,1314.949951171875,3114500.0,1314.949951171875,1582779600.0,0.8623357764153659
1568,2020-02-26,1413.6700439453125,1376.550048828125,1394.97998046875,1390.469970703125,2488800.0,1390.469970703125,1582693200.0,0.9118613227065736
1567,2020-02-25,1436.8499755859375,1380.4200439453125,1431.0,1386.3199462890625,2579000.0,1386.3199462890625,1582606800.0,0.9091397632114354
1566,2020-02-24,1436.3800048828125,1406.7900390625,1423.050048828125,1419.8599853515625,2478000.0,1419.8599853515625,1582520400.0,0.9311351065324392
1565,2020-02-21,1510.949951171875,1478.489990234375,1504.5799560546875,1483.4599609375,2126000.0,1483.4599609375,1582261200.0,0.9728435641646257
1564,2020-02-20,1527.0699462890625,1504.260009765625,1519.010009765625,1516.989990234375,1298100.0,1516.989990234375,1582174800.0,0.9948323431452877
1563,2020-02-19,1530.739990234375,1520.97998046875,1527.199951171875,1524.8699951171875,1137300.0,1524.8699951171875,1582088400.0,1.0
1562,2020-02-18,1530.56005859375,1511.010009765625,1514.3399658203125,1519.43994140625,1282100.0,1519.43994140625,1582002000.0,0.9964390054704171
1561,2020-02-14,1520.050048828125,1505.550048828125,1514.530029296875,1518.72998046875,1159900.0,1518.72998046875,1581656400.0,0.9959734176237328
1560,2020-02-13,1525.949951171875,1504.0,1510.0,1513.3900146484375,1145700.0,1513.3900146484375,1581570000.0,0.9924715021572263
1559,2020-02-12,1520.300048828125,1508.6700439453125,1515.8599853515625,1518.6300048828125,1552100.0,1518.6300048828125,1581483600.0,0.9959078542732455
1558,2020-02-11,1529.8800048828125,1505.449951171875,1513.27001953125,1510.06005859375,1742600.0,1510.06005859375,1581397200.0,0.9902877382525326
1557,2020-02-10,1508.8800048828125,1475.199951171875,1477.22998046875,1508.6600341796875,1915100.0,1508.6600341796875,1581310800.0,0.9893696111869168
1556,2020-02-07,1485.25,1465.4100341796875,1467.3900146484375,1479.1099853515625,1418000.0,1479.1099853515625,1581051600.0,0.9699908779685128
1555,2020-02-06,1481.56005859375,1450.47998046875,1451.97998046875,1475.969970703125,1891100.0,1475.969970703125,1580965200.0,0.9679316764244519
1554,2020-02-05,1464.5799560546875,1429.6800537109375,1463.6099853515625,1446.050048828125,1818800.0,1446.050048828125,1580878800.0,0.9483103828251239
1553,2020-02-04,1467.3399658203125,1422.030029296875,1454.489990234375,1445.4100341796875,4794000.0,1445.4100341796875,1580792400.0,0.9478906653079016
